JeffCoFacilityID,UniqueID,Building Name,Status,Include_Flow_Chart,School Level,Capacity,EducationalCapacity,HistoricalEnrollment,CurrPKEnrollment,CurrEnrollment,ProjEnrollment_PK,ProjEnrollment_Total,FCI,EducationalAdequacy,SiteCapacity,SquareFt,BuildingScore,RecentInvestments,AttendanceAreaEnrollment,NonPKAttendanceAreaEnrollment,HighNeedStudents,ROFTSStudentsREceived,ClassroomEAScore,ClassroomCount
313,CO-1420-5623,Long View High School,Active,Yes,Alternative,167,95.2,58,,17,,24,0.567939029,,No,"6,808",0.349021519,No,0,0,0.183333333,0,,2
781,CO-1420-5972,Molholm Elementary,Closed,No,Elementary,454,Not Found,526,0,0,,,0.239695526,0.411922906,No,"46,524",0,No,0,0,,0,,17
952,CO-1420-1730,Jefferson Academy at Coal Creek Canyon,Active,No,Charter,0,Not Assessed,140,12,99,12,97,0.162136386,,No,"25,361",0.115384615,No,0,0,0.029333333,37,,26
783,CO-1420-9154,New Classical Academy at Vivian,Closed,No,Elementary,302,Not Assessed,210,0,0,,0,0.082065914,,No,"33,138",0,No,0,0,,0,,13
158,CO-1420-8276,Stober Elementary,Active,Yes,Elementary,454,444,321,,359,,386,0.103835431,0.700500284,No,"32,633",0.482099371,Yes,46.6,50.11,0.158,54,,11
146,CO-1420-7282,Red Rocks Elementary,Active,Yes,Elementary,324,276,325,,288,,293,0.092107686,0.63038586,No,"29,176",0.392317694,No,76.13,79.73,0.037666667,1,,9
105,CO-1420-1244,Campbell Early Learning Center,Active,No,Option,312,176,0,217,217,,,0.082400323,0.60932988,No,"43,487",0.567479903,Yes,0,0,0.134666667,11,,
502,CO-1420-3088,Foster Dual Language PK-8,Active,Yes,Option,454,296,541,36,486,33,569,0.10319723,0.719928025,No,"42,486",0.428540831,Yes,0,0,0.377333333,13,,15
155,CO-1420-7962,Slater Elementary,Active,Yes,Elementary,310,348,333,35,240,31,223,0.166126833,0.58944212,No,"46,085",0.45676195,Yes,38.87,37.55,0.394,12,,
780,CO-1420-4802,Kullerstrand Elementary,Closed,No,Elementary,302,Not Found,223,0,0,,,0.138832983,0.587465359,No,"35,533",0,No,0,0,,0,,9
