JeffCoFacilityID,UniqueID,SchoolName,SystemCategory,AssetType,PriorityScore,ConditionSource,ReplacementCost
101,CO-1420-0030,Adams ES,00_general,ADA compliance,,,
101,CO-1420-0030,Adams ES,01_new construction,Demolition,,,
101,CO-1420-0030,Adams ES,01_new construction,New construction ES,,,
101,CO-1420-0030,Adams ES,01_new construction,New construction HS,,,
101,CO-1420-0030,Adams ES,01_new construction,New construction K-8,,,
101,CO-1420-0030,Adams ES,01_new construction,New construction MS,,,
101,CO-1420-0030,Adams ES,01_new construction,New auditorium,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Add shade structure(s),,1,
101,CO-1420-0030,Adams ES,04_campus upgrade,Campus landscaping upgrade,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Parking lot expansion,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,"Front of school branding, landscape upgrades",,0.9,
101,CO-1420-0030,Adams ES,04_campus upgrade,Furniture upgrades,,0.225,
101,CO-1420-0030,Adams ES,04_campus upgrade,Improve drop-off / pick-up zone,,0.541666667,
101,CO-1420-0030,Adams ES,04_campus upgrade,New outdoor classroom,,1,
101,CO-1420-0030,Adams ES,04_campus upgrade,Playground replacement (ages 2-5),,0.75,
101,CO-1420-0030,Adams ES,04_campus upgrade,Playground replacement (ages 5-12),,0.75,
101,CO-1420-0030,Adams ES,04_campus upgrade,Resurface asphalt,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Resurface concrete,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Artificial turf field replacement and track resurfacing - HS,,,
101,CO-1420-0030,Adams ES,05_Modernization,Modernize admin,,0.933333333,
101,CO-1420-0030,Adams ES,05_Modernization,Modernize classrooms,,0.663777778,
101,CO-1420-0030,Adams ES,05_Modernization,Modernize gym / assembly space,,0.505087209,
101,CO-1420-0030,Adams ES,05_Modernization,Modernize kitchen,,,
101,CO-1420-0030,Adams ES,05_Modernization,Modernize cafeteria,,0.411337209,
101,CO-1420-0030,Adams ES,05_Modernization,Modernize multipurpose room,,Does not apply,
101,CO-1420-0030,Adams ES,05_Modernization,Heavily modernize restrooms,,0.666666667,
101,CO-1420-0030,Adams ES,05_Modernization,Heavily modernize STEM / CTE / specialized labs (MS/HS),,Does not apply,
101,CO-1420-0030,Adams ES,05_Modernization,Lightly modernize corridors,,1,
101,CO-1420-0030,Adams ES,05_Modernization,Lightly modernize entry lobby,,0.658333333,
101,CO-1420-0030,Adams ES,05_Modernization,Lightly modernize library/media center,,,
101,CO-1420-0030,Adams ES,04_campus upgrade,Security package,,0.7825,
102,CO-1420-0724,Belmar School of Integrated Arts,00_general,ADA compliance,,,
102,CO-1420-0724,Belmar School of Integrated Arts,01_new construction,Demolition,,,
102,CO-1420-0724,Belmar School of Integrated Arts,01_new construction,New construction ES,,,
102,CO-1420-0724,Belmar School of Integrated Arts,01_new construction,New construction HS,,,
102,CO-1420-0724,Belmar School of Integrated Arts,01_new construction,New construction K-8,,,
102,CO-1420-0724,Belmar School of Integrated Arts,01_new construction,New construction MS,,,
102,CO-1420-0724,Belmar School of Integrated Arts,01_new construction,New auditorium,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Add shade structure(s),,0,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Campus landscaping upgrade,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Parking lot expansion,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,"Front of school branding, landscape upgrades",,0.7375,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Furniture upgrades,,0.225,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Improve drop-off / pick-up zone,,0.9,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,New outdoor classroom,,0,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Playground replacement (ages 2-5),,Does not apply,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Playground replacement (ages 5-12),,0.5,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Resurface asphalt,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Resurface concrete,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Artificial turf field replacement and track resurfacing - HS,,,
102,CO-1420-0724,Belmar School of Integrated Arts,05_Modernization,Modernize admin,,0.427777778,
102,CO-1420-0724,Belmar School of Integrated Arts,05_Modernization,Modernize classrooms,,0.619419338,
102,CO-1420-0724,Belmar School of Integrated Arts,05_Modernization,Modernize gym / assembly space,,0.411337209,
102,CO-1420-0724,Belmar School of Integrated Arts,05_Modernization,Modernize kitchen,,,
102,CO-1420-0724,Belmar School of Integrated Arts,05_Modernization,Modernize cafeteria,,0.562257752,
102,CO-1420-0724,Belmar School of Integrated Arts,05_Modernization,Modernize multipurpose room,,Does not apply,
102,CO-1420-0724,Belmar School of Integrated Arts,05_Modernization,Heavily modernize restrooms,,1,
102,CO-1420-0724,Belmar School of Integrated Arts,05_Modernization,Heavily modernize STEM / CTE / specialized labs (MS/HS),,Does not apply,
102,CO-1420-0724,Belmar School of Integrated Arts,05_Modernization,Lightly modernize corridors,,1,
102,CO-1420-0724,Belmar School of Integrated Arts,05_Modernization,Lightly modernize entry lobby,,0.75,
102,CO-1420-0724,Belmar School of Integrated Arts,05_Modernization,Lightly modernize library/media center,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Security package,,0.691785714,
103,CO-1420-0779,Bergen Valley ES,00_general,ADA compliance,,,
103,CO-1420-0779,Bergen Valley ES,01_new construction,Demolition,,,
103,CO-1420-0779,Bergen Valley ES,01_new construction,New construction ES,,,
103,CO-1420-0779,Bergen Valley ES,01_new construction,New construction HS,,,
103,CO-1420-0779,Bergen Valley ES,01_new construction,New construction K-8,,,
103,CO-1420-0779,Bergen Valley ES,01_new construction,New construction MS,,,
103,CO-1420-0779,Bergen Valley ES,01_new construction,New auditorium,,,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Add shade structure(s),,1,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Campus landscaping upgrade,,,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Parking lot expansion,,,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,"Front of school branding, landscape upgrades",,0.9,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Furniture upgrades,,0.225,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Improve drop-off / pick-up zone,,0.575,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,New outdoor classroom,,1,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Playground replacement (ages 2-5),,0.75,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Playground replacement (ages 5-12),,0.75,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Resurface asphalt,,,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Resurface concrete,,,
103,CO-1420-0779,Bergen Valley ES,04_campus upgrade,Artificial turf field replacement and track resurfacing - HS,,,
103,CO-1420-0779,Bergen Valley ES,05_Modernization,Modernize admin,,0.672222222,
103,CO-1420-0779,Bergen Valley ES,05_Modernization,Modernize classrooms,,0.71888312,
103,CO-1420-0779,Bergen Valley ES,05_Modernization,Modernize gym / assembly space,,0.40625,
103,CO-1420-0779,Bergen Valley ES,05_Modernization,Modernize kitchen,,,
103,CO-1420-0779,Bergen Valley ES,05_Modernization,Modernize cafeteria,,0.21875,
103,CO-1420-0779,Bergen Valley ES,05_Modernization,Modernize multipurpose room,,Does not apply,
103,CO-1420-0779,Bergen Valley ES,05_Modernization,Heavily modernize restrooms,,1,
103,CO-1420-0779,Bergen Valley ES,05_Modernization,Heavily modernize STEM / CTE / specialized labs (MS/HS),,Does not apply,
103,CO-1420-0779,Bergen Valley ES,05_Modernization,Lightly modernize corridors,,1,
103,CO-1420-0779,Bergen Valley ES,05_Modernization,Lightly modernize entry lobby,,0.658333333,
103,CO-1420-0779,Bergen Valley ES,05_Modernization,Lightly modernize library/media center,,,
