JeffCoFacilityID,UniqueID,SchoolName,SystemCategory,AssetType,PriorityScore,ConditionSource,EquipmentType,Quantity,UnitCost,ReplacementCost,SourceSchoolLabel
603,581 Conference Place,581 Conference Pl,02.1_SafetyandSecurityProjects,Camera,1,Infrastructure costs April 2026,Av H4,5,1550,7750,581 Conference
603,581 Conference Place,581 Conference Pl,02.1_SafetyandSecurityProjects,Camera,1,Infrastructure costs April 2026,Av H4-3M,3,2250,6750,581 Conference
603,581 Conference Place,581 Conference Pl,02.1_SafetyandSecurityProjects,Door Phone,1,Infrastructure costs April 2026,8028 g1,1,650,650,581 Conference
101,CO-1420-0030,Adams ES,02.1_SafetyandSecurityProjects,Camera,1,Infrastructure costs April 2026,Av H4,7,1550,10850,Adams
101,CO-1420-0030,Adams ES,02.1_SafetyandSecurityProjects,Camera,1,Infrastructure costs April 2026,Av H4-3M,3,2250,6750,Adams
101,CO-1420-0030,Adams ES,02.1_SafetyandSecurityProjects,Camera,1,Infrastructure costs April 2026,Axis,1,1600,1600,Adams
520,CO-1420-0108,Alameda Int'l Jr-Sr HS,02.1_SafetyandSecurityProjects,Camera,1,Infrastructure costs April 2026,Av H3,1,1550,1550,Alameda Intl
520,CO-1420-0108,Alameda Int'l Jr-Sr HS,02.1_SafetyandSecurityProjects,Camera,1,Infrastructure costs April 2026,Av H3-3M,1,2450,2450,Alameda Intl
520,CO-1420-0108,Alameda Int'l Jr-Sr HS,02.1_SafetyandSecurityProjects,Camera,1,Infrastructure costs April 2026,Av H4,17,1550,26350,Alameda Intl
520,CO-1420-0108,Alameda Int'l Jr-Sr HS,02.1_SafetyandSecurityProjects,Camera,1,Infrastructure costs April 2026,Av H4-3M,1,2250,2250,Alameda Intl
520,CO-1420-0108,Alameda Int'l Jr-Sr HS,02.1_SafetyandSecurityProjects,Door Phone,1,Infrastructure costs April 2026,8028 g1,1,650,650,Alameda Intl
SOLD-5,CO-1420-0148,Allendale ES,02.1_SafetyandSecurityProjects,Camera,1,Infrastructure costs April 2026,Av H4-3M,2,2250,4500,Allendale
SOLD-5,CO-1420-0148,Allendale ES,02.1_SafetyandSecurityProjects,Camera,1,Infrastructure costs April 2026,Axis,2,1600,3200,Allendale
772;773;774,,Applewood Cottages,02.1_SafetyandSecurityProjects,POE Switch,1,Infrastructure costs April 2026,POE Switch,1,3605,3605,Applewood Serving Kids Network
775,CO-1420-0109,Arvada K-8,02.1_SafetyandSecurityProjects,Camera,1,Infrastructure costs April 2026,Av H3-3M,4,2450,9800,Arvada K8
