"JeffCoFacilityID","UniqueID","SchoolName","SystemCategory","AssetType","PriorityScore","ConditionSource","Unit","UnitValue","ReplacementCost","Location","Building","System","ID","Priority","Date of New Deficiency Created or Existing Modified","New RSMeans Deficiency Description","Deficiency (Scope Of Work)","Qty","UoM","Cost with Inflation Factor"
"779","CO-1420-3624","Green Mountain ES","08_Facilities Deficiency","Roofing","3","02.2 Facilities Deficiency Projects","Ea.","1","9664.26","Green Mountain ES","Main Bldg.","Roofing","8","3","5/1/2024","Replace Existing Roof Access Hatch","The Roof Operable Hatch Is Damaged And Requires Replacement","1","Ea.","$9,664.26"
"779","CO-1420-3624","Green Mountain ES","08_Facilities Deficiency","Interior","4","02.2 Facilities Deficiency Projects","SF","14600","153209.76","Green Mountain ES","Main Bldg.","Interior","44","4","9/9/2022","Replace Existing Suspended Acoustical Tile Ceiling System","The Suspended Ceiling Grid and Tiles Are Damaged And Require Replacement","14600","SF","$153,209.76"
"779","CO-1420-3624","Green Mountain ES","08_Facilities Deficiency","Interior","4","02.2 Facilities Deficiency Projects","SF Wall","18000","20678.35","Green Mountain ES","Main Bldg.","Interior","47","4","9/9/2022","Paint Existing Interior Surfaces - Walls","Interior Gypboard Walls Require Repainting","18000","SF Wall","$20,678.35"
"779","CO-1420-3624","Green Mountain ES","08_Facilities Deficiency","Specialties","4","02.2 Facilities Deficiency Projects","Ea.","2","14000.00","Green Mountain ES","Main Bldg.","Specialties","48","4","9/9/2022","Replace Existing Standard Toilet Compartment","Interior Toilet Partition Require Repair Or Replacement","2","Ea.","$14,000.00"
"779","CO-1420-3624","Green Mountain ES","08_Facilities Deficiency","Site","3","02.2 Facilities Deficiency Projects","LF","500","5257.95","Green Mountain ES","Site Level Deficiencies","Site","94","3","9/9/2022","Replace Existing Concrete Curb and Gutter","LC: The Site / Curb, Ramp, and Gutter / Concrete system is beyond its useful life.","500","LF","$5,257.95"
"151","CO-1420-7753","Semper ES","08_Facilities Deficiency","Specialties","3","02.2 Facilities Deficiency Projects","SF","480","93980.43","Semper ES","Main Bldg.","Specialties","148","3","1/11/2023","Replace Existing Demountable/Operable Partition with Gyp Board Wall","Moveable Partitions Are Damaged And Require Replacement","480","SF","$93,980.43"
"151","CO-1420-7753","Semper ES","08_Facilities Deficiency","Electrical","4","02.2 Facilities Deficiency Projects","Amps","480","5694.50","Semper ES","Main Bldg.","Electrical","149","4","1/11/2023","Install New Electrical Circuit Capacity","The Electrical Circuit Capacity Is Inadequate","480","Amps","$5,694.50"
"301","CO-1420-0370","Arvada HS","08_Facilities Deficiency","Roofing","2","02.2 Facilities Deficiency Projects","LF","1000","19958.78","Arvada HS","Main Bldg.","Roofing","162","2","","Replace Existing Sheet Metal  Flashing","Thru-Wall Flashing At Rise-Wall Should Be Raised And Reflashed","1000","LF","$19,958.78"
"301","CO-1420-0370","Arvada HS","08_Facilities Deficiency","Roofing","4","02.2 Facilities Deficiency Projects","LF","15","2597.39","Arvada HS","Main Bldg.","Roofing","164","4","","Reflash Existing Roof Parapet","Parapets are Too Low and Require Reflashing","15","LF","$2,597.39"
"743","North Area Transportation Center - Indiana","North Area Transportation Center - Indiana","08_Facilities Deficiency","Roofing","3","02.2 Facilities Deficiency Projects","Ea.","1","3645.22","North Area Transportation Center - Indiana","Main Bldg.","Roofing","239","3","5/1/2024","Install New Roof Drain and Piping","Drains And Piping Are Needed To Eliminate Ponding","1","Ea.","$3,645.22"
"743","North Area Transportation Center - Indiana","North Area Transportation Center - Indiana","08_Facilities Deficiency","Roofing","1","02.2 Facilities Deficiency Projects","SF","957","26199.04","North Area Transportation Center - Indiana","Transportable","Roofing","242","1","5/1/2024","Replace Existing Metal Roofing System","The Metal Roof Structural Roof Covering Is Damaged And Requires Replacement","957","SF","$26,199.04"
"743","North Area Transportation Center - Indiana","North Area Transportation Center - Indiana","08_Facilities Deficiency","Roofing","1","02.2 Facilities Deficiency Projects","SF","957","26199.04","North Area Transportation Center - Indiana","Transportable","Roofing","243","1","5/1/2024","Replace Existing Metal Roofing System","The Metal Roof Structural Roof Covering Is Damaged And Requires Replacement","957","SF","$26,199.04"
"142","CO-1420-6848","Peak Expeditionary School at Pennington","08_Facilities Deficiency","Roofing","3","02.2 Facilities Deficiency Projects","LF","22","967.72","Peak Expeditionary School at Pennington","Main Bldg.","Roofing","252","3","","Replace Existing Metal Downspouts","The Metal Downspouts Are Damaged Or Missing And Requires Replacement","22","LF","$967.72"
"142","CO-1420-6848","Peak Expeditionary School at Pennington","08_Facilities Deficiency","Roofing","1","02.2 Facilities Deficiency Projects","SF","20","354.87","Peak Expeditionary School at Pennington","Transportable","Roofing","259","1","","Replace Existing Shingle/Shake Roofing System","The Asphalt Shingles Roof Covering Is Damaged And Requires Replacement","20","SF","$354.87"
"307","CO-1420-1886","Conifer HS","08_Facilities Deficiency","Site","3","02.2 Facilities Deficiency Projects","Seat","1500","357894.46","Conifer HS","Site Level Deficiencies","Site","325","3","","Replace Existing Outdoor Bleachers","Bleachers Are Damaged And Require Replacement","1500","Seat","$357,894.46"
