Jeffco Facility ID,Unique ID,Comment ID,School Name,Respondent Role,Category,Rating,Comment
101,CO-1420-0030,1,Adams ES,School Leader,HVAC,3,The swamp cooler makes the building quite humid and it is warm and sticky in the building during the hot months.
101,CO-1420-0030,2,Adams ES,Facility Manager,HVAC,1,"We have swamp coolers, it only does so much. When school is empty or has less people in the building it works great, but when we are full with students and staff it feels as if barely any air is flowing through. When it's hot and humid we expect it to be hot and humid inside the school as well."
101,CO-1420-0030,3,Adams ES,School Leader,Interiors,4,
101,CO-1420-0030,4,Adams ES,Facility Manager,Interiors,3,"bathroom floors are extremely old, they are 1"" x 1"" tile and have the tendency to come off or crack, getting repaired can be challenging due to not having the tile or a matching tile.  We have partition style walls in every classroom, meaning they can be removed to make one big room, problem is under the wall, in some rooms, just never got carpeted when carpet was replaced or has the original carpet underneath."
101,CO-1420-0030,5,Adams ES,School Leader,Other Issues,,"There are holes in walls around the building that we cannot afford to fix left from the removal of SMART boards and accordion partitions. "
101,CO-1420-0030,6,Adams ES,Facility Manager,Other Issues,,not right now no
101,CO-1420-0030,7,Adams ES,School Leader,Teaching Space,3,"We have sacrificed a classroom for additional storage of lunch tables and other furniture. It would be nice to have this room back to use for learning purposes. We do not have any break out spaces for small student groups due to the physical limitations of the building. "
101,CO-1420-0030,8,Adams ES,Facility Manager,Teaching Space,4,
101,CO-1420-0030,9,Adams ES,School Leader,Water Intrusion,5,
101,CO-1420-0030,10,Adams ES,Facility Manager,Water Intrusion,5,
101,CO-1420-0030,11,Adams ES,School Leader,Outdoor Amenities,2,The courts are very lumpy and run down. There are some pieces on the big playground that students report are cracked. There are parts of the PK play area that cannot be used because sand does not meet code. Student would like to play soccer but we have no nets and cannot afford them. Students kick the ball against the building instead. We are an ASD center and are in need of a central location to hang our AAC poster that will be accessible by students and not require them to walk away from the play area and get an adult's attention.
101,CO-1420-0030,12,Adams ES,Facility Manager,Outdoor Amenities,1,"Playground could use some work. We have somewhat newish equipment and then old metal equipment that gets super hot during hot days. Surrounding the playground is a massive amount of trees that aren't in the best condition. We also have railroad ties for steps surrounding the main play ground which is becoming very unsafe. I fear these steps will give out one day the way they are beginning to slope/slant in some areas. We also have this empty playground area, that was once preschools and since that was relocated, it just sits there. Kind of a waste of space. "
101,CO-1420-0030,13,Adams ES,School Leader,Overall Condition,4,
101,CO-1420-0030,14,Adams ES,Facility Manager,Overall Condition,3,The problem areas are everything I stated in the survey
101,CO-1420-0030,15,Adams ES,School Leader,Walkways,4,
101,CO-1420-0030,16,Adams ES,Facility Manager,Walkways,2,"There are quite a bit of cracks along the sidewalks surrounding the building. Most of these cracks are raised/lifted, there is gaps/cracks all around the school between the sidewalks and exterior walls of building that need to be sealed due to a big ant problem we have here and also the cracks also house wasp nests. We have a set of stairs on the art patio that is separating from the wall. "
101,CO-1420-0030,17,Adams ES,School Leader,Safety & Security,2,The fence and gate along the property line is broken down and does not keep student in or visitors out.
101,CO-1420-0030,18,Adams ES,Facility Manager,Safety & Security,3,We tend to have a lot of people in the community walk through the playground area of the school when school is in. It's not a constant thing but it does happen. Parking lot lighting could be better. It tends to get quite dark and we have had teenagers come and fool around in the parking lot or along the student drop off area.
520,CO-1420-0108,19,Alameda Int'l Jr-Sr HS,School Leader,HVAC,4,
520,CO-1420-0108,20,Alameda Int'l Jr-Sr HS,Facility Manager,HVAC,4,
520,CO-1420-0108,21,Alameda Int'l Jr-Sr HS,School Leader,Interiors,4,
520,CO-1420-0108,22,Alameda Int'l Jr-Sr HS,Facility Manager,Interiors,5,
520,CO-1420-0108,23,Alameda Int'l Jr-Sr HS,School Leader,Other Issues,,"Please update map to reflect school updates. "
520,CO-1420-0108,24,Alameda Int'l Jr-Sr HS,Facility Manager,Other Issues,,
520,CO-1420-0108,25,Alameda Int'l Jr-Sr HS,School Leader,Teaching Space,3,"The new building was intentionally built to show a higher usage capacity. This forces us to use specialized spaces for other uses. All classrooms are shared, which decreases teacher ownership in the space and increases wear and tear. Newest furniture is not as durable as previous purchases. Classroom spaces are set up for student capacity around 25, when some classes have 30+ students enrolled. "
520,CO-1420-0108,26,Alameda Int'l Jr-Sr HS,Facility Manager,Teaching Space,4,
520,CO-1420-0108,27,Alameda Int'l Jr-Sr HS,School Leader,Water Intrusion,2,"The map is outdated and not up to date with new building. Cannot identify location on map. Water comes in in Library, and admin office. Gym roof was leaking; it was recently replaced."
520,CO-1420-0108,28,Alameda Int'l Jr-Sr HS,Facility Manager,Water Intrusion,4,
520,CO-1420-0108,29,Alameda Int'l Jr-Sr HS,School Leader,Outdoor Amenities,4,
520,CO-1420-0108,30,Alameda Int'l Jr-Sr HS,Facility Manager,Outdoor Amenities,5,
520,CO-1420-0108,31,Alameda Int'l Jr-Sr HS,School Leader,Overall Condition,4,
520,CO-1420-0108,32,Alameda Int'l Jr-Sr HS,Facility Manager,Overall Condition,5,
520,CO-1420-0108,33,Alameda Int'l Jr-Sr HS,School Leader,Walkways,3,"West entrance has a nice sidewalk around landscaping rocks, students and adults prefer the shortest path, climbing over the rocks. Ramp over the rocks is needed. "
520,CO-1420-0108,34,Alameda Int'l Jr-Sr HS,Facility Manager,Walkways,4,
520,CO-1420-0108,35,Alameda Int'l Jr-Sr HS,School Leader,Safety & Security,3,"We need lighting for the baseball field, 1st base side, security cameras for the student parking lot, security camera for the south hallway in the large gym, 360 camera in the cafeteria. "
520,CO-1420-0108,36,Alameda Int'l Jr-Sr HS,Facility Manager,Safety & Security,4,
138,CO-1420-6285,37,Anderson Preschool,School Leader,HVAC,3,Our system seems to run very cold in the summer and winter.
138,CO-1420-6285,38,Anderson Preschool,School Leader,Interiors,4,
138,CO-1420-6285,39,Anderson Preschool,School Leader,Other Issues,,
138,CO-1420-6285,40,Anderson Preschool,School Leader,Teaching Space,4,
138,CO-1420-6285,41,Anderson Preschool,School Leader,Water Intrusion,3,"We do not have inside water intrusion issues but do have outside drainage problems impacting the playground. "
138,CO-1420-6285,42,Anderson Preschool,School Leader,Outdoor Amenities,2,My large playground meets our needs but the small playground has patches with no grass and is waterlogged often. There are drainage issues. With preschool licensing we can't have more than 20 students on playground at a time so we have to use both areas.
138,CO-1420-6285,43,Anderson Preschool,School Leader,Overall Condition,3,
138,CO-1420-6285,44,Anderson Preschool,School Leader,Walkways,5,
