JeffCoFacilityID,UniqueID,SchoolName,SystemCategory,AssetType,PriorityScore,ConditionSource,Unit,UnitValue,ReplacementCost,Location,Building,System,ID,Priority,Date of New Deficiency Created or Existing Modified,New RSMeans Deficiency Description,Deficiency (Scope Of Work),Qty,UoM,Cost with Inflation Factor
101,CO-1420-0030,Adams ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
931,CO-1420-1451,Addenbrooke Classical Academy,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
951,CO-1420-0491,Addenbrooke Classical Academy (PK - 8th),02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
520,CO-1420-0108,Alameda Int'l Jr-Sr HS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
SOLD-5,CO-1420-0148,Allendale ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
301,CO-1420-0370,Arvada HS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
775,CO-1420-0109,Arvada K-8,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
302,CO-1420-0378,Arvada West HS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
303,CO-1420-0664,Bear Creek HS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
510,CO-1420-0660,Bear Creek K-8,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
201,CO-1420-0694,Bell MS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
SOLD-1,CO-1420-0776,Bergen Meadow ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
103,CO-1420-0779,Bergen Valley ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
104,CO-1420-0951,Blue Heron ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
513,CO-1420-0952,Bradford K-8 North,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
512,CO-1420-0950,Bradford K-8 South,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
304,CO-1420-0965,Brady Exploration School,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
105,CO-1420-1244,Campbell Preschool,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
202,CO-1420-1318,Carmody MS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
305,CO-1420-1522,Chatfield HS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
952,CO-1420-1730,Coal Creek Canyon K-8,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
,CO-1420-7701,Collegiate Academy,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
776,CO-1420-1790,Colorow ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
106,CO-1420-1861,Columbine Hills ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
306,CO-1420-1864,Columbine HS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
,CO-1420-1880,Compass Montessori,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
901,CO-1420-1869,Compass Montessori Wheat Ridge,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
307,CO-1420-1886,Conifer HS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
203,CO-1420-4798,Connections Learning Center,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
107,CO-1420-1876,Coronado ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
204,CO-1420-1976,Creighton MS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
521,CO-1420-2120,D'Evelyn Jr-Sr HS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
308,CO-1420-2093,Dakota Ridge HS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
108,CO-1420-8090,Deane ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
205,CO-1420-2130,Deer Creek MS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
