SystemCategory,Project,Unit,UnitCost,Value,ScopeAssumption,UpgradeScopeAssumption,SizeAssumptions
00_general,ADA compliance,Project cost,5%,0.5,Allowance against total project value for ADA compliance modifications across various project elements.,,
01_new construction,Demolition,SF,11.7,0.5,"Includes demolition, site clearance, and disposal of building materials. Excludes hazmat abatement.",,"50,000 SF"
01_new construction,New administrative / support site,SF,904.332,0.5,"Construction of a new administrative / support site with all necessary utilities and finishes. Assumes a 1.5 to 2-acre fully developed site. Intended as a full building replacement cost, not a small addition. Excludes new furniture.",,"10,000 SF"
01_new construction,New auditorium,SF,1125.3,0.5,Construction of a new auditorium with all necessary utilities and finishes. Can be applied as a standalone building addition cost.,,"11,000 SF"
01_new construction,New cafeteria,SF,676.77247,0.5,Construction of a new cafeteria with all necessary utilities and finishes. Can be applied as a standalone building addition cost.,,"5,600 SF"
01_new construction,New construction ES,SF,566.49648,0.5,"Construction of a new school building with all necessary utilities and finishes. Intended as a full building replacement cost, not a small addition. Excludes new furniture.",,"80,700 SF"
01_new construction,New construction HS,SF,623.1712256,0.5,"Construction of a new school building with all necessary utilities and finishes. Intended as a full building replacement cost, not a small addition. Assumes 30,000 SF of new facility is CTE space. Excludes new furniture.",,"250,000 SF"
01_new construction,New construction K-8,SF,577.50396,0.5,"Construction of a new school building with all necessary utilities and finishes. Intended as a full building replacement cost, not a small addition. Excludes new furniture.",,"90,000 SF"
01_new construction,New construction MS,SF,588.4978,0.5,"Construction of a new school building with all necessary utilities and finishes. Intended as a full building replacement cost, not a small addition. Excludes new furniture.",,"150,000 SF"
01_new construction,New construction OELS,Quantity,126830300,0.5,Construction of a new OELS campus with all necessary utilities and finishes. Excludes new furniture.,,See 2nd tab
01_new construction,New gym,SF,513.973614,0.5,Construction of a new gym with all necessary utilities and finishes. Can be applied as a standalone building addition cost.,,"8,000 SF"
01_new construction,New gym locker rooms,SF,1138.94,0.5,Construction of new gym locker rooms with all necessary utilities and finishes. Includes slab on grade removal and new plumbing. May be applied as a standalone building addition cost.,,"2,500 SF"
01_new construction,New kitchen,SF,1134.6434,0.5,Construction of a new kitchen with all necessary utilities and finishes. Can be applied as a standalone building addition cost.,,"3,000 SF"
01_new construction,New stadium,SF,2212.408,0.5,"Construction of a new stadium, track, field, restrooms, concessions, ticketing, minor support, and storage with all necessary utilities and finishes.",,"10,000 SF"
04_campus upgrade,Artificial turf field replacement and track resurfacing - HS,Quantity,1923350,0.5,"Replacement of existing artificial turf field and resurfacing of existing track and D-Zone. Includes turf removal, new turf system, drainage improvements, select asphalt improvements, track and D-Zone surfacing, and perimeter landscaping restoration. Excludes new grandstands. Structural and exterior improvements have not been included.",,"Turf 77,255 SF, 8 Lane Track"
04_campus upgrade,Bioswales,SF,108.68,0.5,"Excavation and grading, bioswale channel construction, native vegetation, and drainage connections. Excludes hardscaping and irrigation.",,"2,500 SF"
04_campus upgrade,Classroom furniture upgrades - ES (per campus),Quantity,750000,0.5,"New furniture, delivery, and installation for entire school building.",,
04_campus upgrade,Classroom furniture upgrades - ES (per classroom),Quantity,22000,0.5,"New classroom furniture, delivery, and installation.",,
04_campus upgrade,Classroom furniture upgrades - HS (per campus),Quantity,3000000,0.5,"New furniture, delivery, and installation for entire school building.",,
04_campus upgrade,Classroom furniture upgrades - HS (per classroom),Quantity,25000,0.5,"New classroom furniture, delivery, and installation.",,
04_campus upgrade,Classroom furniture upgrades - MS (per campus),Quantity,1500000,0.5,"New furniture, delivery, and installation for entire school building.",,
04_campus upgrade,Classroom furniture upgrades - MS (per classroom),Quantity,24000,0.5,"New classroom furniture, delivery, and installation.",,
04_campus upgrade,Exterior LED lighting upgrades (building-mounted),Quantity,5005,0.5,Replacement of existing building-mounted exterior lighting fixtures with energy-efficient LED. Includes fixtures and controls.,,-
04_campus upgrade,Exterior LED lighting upgrades (pole-mounted),Quantity,10725,0.5,Replacement of existing pole-mounted exterior lighting fixtures with energy-efficient LED. Includes fixtures and controls. Excludes pole replacement.,,-
04_campus upgrade,"Front of school branding, landscape upgrades",SF,28.6,0.5,"Non-electronic building-mounted signage and lettering, landscaping, branding elements, and hardscaping.",,"6,500 SF"
