CDE Pairing,Nth Closest to Origin,Origin CDE Code,Origin CDE Prefix,Origin Facility Name,Origin Grades,Destination CDE Code,Destination CDE Prefix,Destination Facility Name,Destination Grade,Network Distance (Miles),Linear Distance (Miles),Grade Overlap
0030 - 5454,2,30,CO-1420-0030,Adams Elementary,'PK-5,5454,CO-1420-5454,Mandalay Middle,'6-8,0.597591976,0.456208633,'No
0030 - 7753,3,30,CO-1420-0030,Adams Elementary,'PK-5,7753,CO-1420-7753,Semper Elementary,'PK-5,0.900573573,0.777504731,'PK-5
0030 - 5222,4,30,CO-1420-0030,Adams Elementary,'PK-5,5222,CO-1420-5222,Little Elementary,'K-5,1.950548606,1.1348338,'K-5
0030 - 7114,5,30,CO-1420-0030,Adams Elementary,'PK-5,7114,CO-1420-7114,Pomona Junior/Senior High,'6-12,2.837001254,1.811935735,'No
0030 - 5350,6,30,CO-1420-0030,Adams Elementary,'PK-5,5350,CO-1420-5350,Lukas Elementary,'K-5,2.946104339,1.969112274,'K-5
0030 - 8209,7,30,CO-1420-0030,Adams Elementary,'PK-5,8209,CO-1420-8209,Standley Lake High,'9-12,2.961836401,2.125923268,'No
0030 - 9299,8,30,CO-1420-0030,Adams Elementary,'PK-5,9299,CO-1420-9299,Wayne Carle Middle,'6-8,3.2050473,2.50514818,'No
0030 - 9328,9,30,CO-1420-0030,Adams Elementary,'PK-5,9328,CO-1420-9328,Weber Elementary,'PK-5,3.306555398,2.162390388,'PK-5
0030 - 3726,10,30,CO-1420-0030,Adams Elementary,'PK-5,3726,CO-1420-3726,Hackberry Hill Elementary,'K-5,3.335014637,2.524319057,'K-5
0030 - 9232,11,30,CO-1420-0030,Adams Elementary,'PK-5,9232,CO-1420-9232,Warder Elementary,'PK-5,3.554242471,2.632536657,'PK-5
0030 - 7529,12,30,CO-1420-0030,Adams Elementary,'PK-5,7529,CO-1420-7529,Ryan Elementary,'PK-5,3.670084305,2.480631044,'PK-5
0030 - 6330,13,30,CO-1420-0030,Adams Elementary,'PK-5,6330,CO-1420-6330,North Arvada Middle,'6-8,4.106721456,2.860167684,'No
0030 - 0370,14,30,CO-1420-0030,Adams Elementary,'PK-5,370,CO-1420-0370,Arvada High,'9-12,4.605442335,3.842080509,'No
0030 - 7870,15,30,CO-1420-0030,Adams Elementary,'PK-5,7870,CO-1420-7870,Sierra Elementary,'PK-5,4.87082229,3.592432815,'PK-5
0030 - 8432,16,30,CO-1420-0030,Adams Elementary,'PK-5,8432,CO-1420-8432,Swanson Elementary,'K-5,5.035024534,3.388568468,'K-5
0030 - 7708,17,30,CO-1420-0030,Adams Elementary,'PK-5,7708,CO-1420-7708,Secrest Elementary,'PK-5,5.123401228,3.887431111,'PK-5
0030 - 5024,18,30,CO-1420-0030,Adams Elementary,'PK-5,5024,CO-1420-5024,Lawrence Elementary,'K-5,5.87456904,5.01629736,'K-5
0030 - 5758,19,30,CO-1420-0030,Adams Elementary,'PK-5,5758,CO-1420-5758,Meiklejohn Elementary,'PK-5,5.886574019,4.729304692,'PK-5
0030 - 6470,20,30,CO-1420-0030,Adams Elementary,'PK-5,6470,CO-1420-6470,Oberon Middle,'6-8,6.159282235,3.980923405,'No
0030 - 3088,21,30,CO-1420-0030,Adams Elementary,'PK-5,3088,CO-1420-3088,Foster Dual Language PK-8 School,'PK-8,6.243605449,5.296375938,'PK-5
0030 - 1244,22,30,CO-1420-0030,Adams Elementary,'PK-5,1244,CO-1420-1244,Campbell Early Learning Center,'PK,6.29331034,4.633949947,'PK
0030 - 7239,23,30,CO-1420-0030,Adams Elementary,'PK-5,7239,CO-1420-7239,Ralston Valley High,'9-12,6.546689143,4.811448191,'No
0030 - 9052,24,30,CO-1420-0030,Adams Elementary,'PK-5,9052,CO-1420-9052,Van Arsdale Elementary,'PK-5,6.620172336,5.024297284,'PK-5
0030 - 9245,25,30,CO-1420-0030,Adams Elementary,'PK-5,9245,CO-1420-9245,Warren Tech North,'11-12,7.150017554,5.263373144,'No
0030 - 3216,26,30,CO-1420-0030,Adams Elementary,'PK-5,3216,CO-1420-3216,Fremont Elementary,'K-5,7.228053564,5.268145465,'K-5
0030 - 0378,27,30,CO-1420-0030,Adams Elementary,'PK-5,378,CO-1420-0378,Arvada West High,'9-12,7.310029194,5.23107381,'No
0030 - 9058,28,30,CO-1420-0030,Adams Elementary,'PK-5,9058,CO-1420-9058,Vanderhoof Elementary,'K-5,7.568446297,5.580737687,'K-5
0030 - 8036,29,30,CO-1420-0030,Adams Elementary,'PK-5,8036,CO-1420-8036,Sobesky Academy,'K-12,7.976637655,6.695481376,'K-5
0030 - 6848,30,30,CO-1420-0030,Adams Elementary,'PK-5,6848,CO-1420-6848,Peak Expeditionary-Pennington,'PK-5,8.027356102,6.482960916,'PK-5
0030 - 8300,31,30,CO-1420-0030,Adams Elementary,'PK-5,8300,CO-1420-8300,Stott Elementary,'PK-5,8.091148259,5.49131593,'PK-5
0030 - 8223,32,30,CO-1420-0030,Adams Elementary,'PK-5,8223,CO-1420-8223,Stevens Elementary,'PK-5,8.114830794,6.833483556,'PK-5
0030 - 6285,33,30,CO-1420-0030,Adams Elementary,'PK-5,6285,CO-1420-6285,Norma Anderson Early Learning Center,'PK,8.720588097,6.845893865,'PK
0030 - 2820,34,30,CO-1420-0030,Adams Elementary,'PK-5,2820,CO-1420-2820,Everitt Middle,'6-8,8.859336801,7.139240013,'No
0030 - 2288,35,30,CO-1420-0030,Adams Elementary,'PK-5,2288,CO-1420-2288,Drake Middle,'6-8,9.065069673,6.759860787,'No
0030 - 9429,36,30,CO-1420-0030,Adams Elementary,'PK-5,9429,CO-1420-9429,West Woods Elementary,'K-5,9.125806358,7.068751291,'K-5
0030 - 9510,37,30,CO-1420-0030,Adams Elementary,'PK-5,9510,CO-1420-9510,Wheat Ridge High,'9-12,9.216867768,7.516798491,'No
0030 - 4422,38,30,CO-1420-0030,Adams Elementary,'PK-5,4422,CO-1420-4422,Jefferson Junior/Senior High,'7-12,9.420475527,8.190768944,'No
0030 - 2496,39,30,CO-1420-0030,Adams Elementary,'PK-5,2496,CO-1420-2496,Edgewater Elementary,'PK-6,9.462045699,8.207310476,'PK-5
0030 - 5354,40,30,CO-1420-0030,Adams Elementary,'PK-5,5354,CO-1420-5354,Lumberg Elementary,'PK-6,9.620781869,8.275288658,'PK-5
0030 - 7962,41,30,CO-1420-0030,Adams Elementary,'PK-5,7962,CO-1420-7962,Slater Elementary,'PK-5,9.659795005,8.259695555,'PK-5
0030 - 8856,42,30,CO-1420-0030,Adams Elementary,'PK-5,8856,CO-1420-8856,Three Creeks K-8,'K-8,9.877529736,8.277199831,'K-5
,,,CO-1420-,,',,CO-1420-,,',,,#N/A
0033 - 5623,2,33,CO-1420-0033,McLain Community High School,'9-12,5623,CO-1420-5623,Long View,'10-12,0.285249842,0.124222375,'10-12
0033 - 9234,3,33,CO-1420-0033,McLain Community High School,'9-12,9234,CO-1420-9234,Warren Tech Central,'11-12,0.675780612,0.146279593,'11-12
0033 - 4830,4,33,CO-1420-0033,McLain Community High School,'9-12,4830,CO-1420-4830,Kyffin Elementary,'PK-5,1.889392657,0.486953518,'No
0033 - 3025,5,33,CO-1420-0033,McLain Community High School,'9-12,3025,CO-1420-3025,Foothills Elementary,'PK-5,2.967344661,0.871514481,'No
0033 - 3201,6,33,CO-1420-0033,McLain Community High School,'9-12,3201,CO-1420-3201,Free Horizon Montessori,'PK-8,3.128494782,1.857504116,'No
0033 - 5892,7,33,CO-1420-0033,McLain Community High School,'9-12,5892,CO-1420-5892,Fletcher Miller Special,'PK-12,3.143564387,2.328808705,'9-12
