UniqueID,Building Name,YearBuilt
CO-1420-0030,Adams Elementary,1988
CO-1420-0108,Alameda International Junior/Senior High School,1961
CO-1420-0148,Allendale Elementary,1964
CO-1420-0370,Arvada High School,1971
CO-1420-0109,Arvada K-8,1952
CO-1420-0378,Arvada West High School,2003
CO-1420-0664,Bear Creek High School,2008
CO-1420-0660,Bear Creek K-8,2008
CO-1420-0694,Bell Middle School,1964
CO-1420-0724,Belmar School of Integrated Arts,1961
CO-1420-0779,Bergen Elementary School,1997
CO-1420-0776,Bergen Meadow Primary School,1970
CO-1420-0951,Blue Heron Elementary,2002
CO-1420-0952,Bradford K8 North,1994
CO-1420-0950,Bradford K8 South,1990
CO-1420-0965,Brady Exploration School,1940
CO-1420-1244,Campbell Early Learning Center,1964
CO-1420-1318,Carmody Middle School,1965
CO-1420-1522,Chatfield Senior High School,1986
CO-1420-1790,Colorow Elementary,1977
CO-1420-1864,Columbine High School,1973
CO-1420-1861,Columbine Hills Elementary,1964
CO-1420-1886,Conifer High School,1996
CO-1420-4798,Connections Learning Center,2010
CO-1420-1876,Coronado Elementary,1987
CO-1420-1976,Creighton Middle,1962
CO-1420-2120,D'Evelyn Junior/Senior High School,2000
CO-1420-2093,Dakota Ridge High School,1996
CO-1420-8090,Deane Elementary,1954
CO-1420-2130,Deer Creek Middle School,1980
CO-1420-9432,Dennison Elementary,1958
CO-1420-2194,Devinny Elementary,1964
CO-1420-2288,Drake Middle School,1962
CO-1420-2300,Dunstan Middle School,2006
CO-1420-2322,Dutch Creek Elementary,1973
CO-1420-2496,Edgewater Elementary,1949
CO-1420-2550,Eiber Elementary,1955
CO-1420-2616,Elk Creek Elementary,1989
CO-1420-8248,Emory Elementary,1994
CO-1420-2836,Evergreen High School,1954
CO-1420-2832,Evergreen Middle School,1969
CO-1420-2820,Everitt Middle School,1966
CO-1420-2866,Fairmount Elementary,1962
CO-1420-2963,Falcon Bluffs Middle School,2003
CO-1420-2946,Fitzmorris Elementary,1960
CO-1420-5892,Fletcher Miller Special Education School,1963
CO-1420-3025,Foothills Elementary,1970
CO-1420-3088,Foster Dual Language PK-8,1953
CO-1420-3201,Free Horizon Montessori PK-8,1950
CO-1420-3216,Fremont Elementary,1953
CO-1420-3502,Golden High School,2008
CO-1420-3536,Governor's Ranch Elementary,1987
CO-1420-3622,Green Gables Elementary,1969
CO-1420-3624,Green Mountain Elementary,1962
CO-1420-3628,Green Mountain High School,1973
CO-1420-3726,Hackberry Hill Elementary,1966
CO-1420-4190,Hutchinson Elementary,1973
CO-1420-4408,Jeffco Virtual Academy,2009
CO-1420-6539,Jefferson County Open Elementary School,1930
CO-1420-6541,Jefferson County Open Secondary,1930
CO-1420-4422,Jefferson Junior/Senior High School,1959
CO-1420-4548,Ken Caryl Middle School,1970
CO-1420-4549,Kendallvue Elementary,1982
CO-1420-4550,Kendrick Lakes Elementary,2020
CO-1420-4802,Kullerstrand Elementary,1961
CO-1420-4830,Kyffin Elementary,1972
CO-1420-4942,Lakewood High School,1958
CO-1420-5004,Lasley Elementary,1961
CO-1420-5024,Lawrence Elementary,1996
CO-1420-5036,Leawood Elementary,1972
CO-1420-5222,Little Elementary,1973
CO-1420-5623,Long View High School,1967
CO-1420-5350,Lukas Elementary,1988
CO-1420-5354,Lumberg Elementary,1955
CO-1420-5454,Mandalay Middle School,1983
CO-1420-5472,Manning School of Academics and Arts,1958
CO-1420-5524,Maple Grove Elementary,1960
CO-1420-5580,Marshdale Elementary,2022
CO-1420-0033,McLain Community High School,2000
CO-1420-5758,Meiklejohn Elementary,2006
CO-1420-5944,Mitchell Elementary,1997
CO-1420-5972,Molholm Elementary,1954
CO-1420-6090,Moore Middle School,1978
CO-1420-6133,Mortensen Elementary,1994
CO-1420-6135,Mount Carbon Elementary,1996
CO-1420-9154,New Classical Academy at Vivian,1953
CO-1420-6285,Norma Anderson Early Learning Center,2007
CO-1420-6286,Normandy Elementary,1970
CO-1420-6330,North Arvada Middle School,1962
CO-1420-6470,Oberon Middle School,1965
CO-1420-6804,Parmalee Elementary,1963
CO-1420-6806,Parr Elementary,1969
CO-1420-6808,Patterson Elementary,1964
CO-1420-6848,Peak Expeditionary at Pennington,1961
CO-1420-6828,Peck Elementary,1966
CO-1420-6844,Peiffer Elementary,1973
CO-1420-7114,Pomona Junior/Senior High School,1973
CO-1420-7128,Powderhorn Elementary,1994
CO-1420-7190,Prospect Valley Elementary,2022
CO-1420-7238,Ralston Elementary,1955
CO-1420-7239,Ralston Valley High School,2001
CO-1420-7282,Red Rocks Elementary,1955
CO-1420-7483,Rooney Ranch Elementary,1994
CO-1420-7468,Rose Stein International Elementary,1954
CO-1420-7529,Ryan Elementary,1994
CO-1420-7708,Secrest Elementary,1955
CO-1420-7753,Semper Elementary,1996
CO-1420-7780,Shaffer Elementary,1998
CO-1420-7833,Shelton Elementary,1998
CO-1420-7870,Sierra Elementary,2009
CO-1420-7962,Slater Elementary,1953
CO-1420-8036,Sobesky Academy,1994
CO-1420-8102,South Lakewood Elementary,1995
CO-1420-8209,Standley Lake High School,1988
CO-1420-8223,Stevens Elementary,1995
CO-1420-8276,Stober Elementary,1965
CO-1420-8280,Stony Creek Elementary,1983
CO-1420-8300,Stott Elementary,1972
CO-1420-8381,Summit Ridge Middle School,1994
CO-1420-8432,Swanson Elementary,1964
CO-1420-8856,Three Creeks K-8,2017
CO-1420-9008,Ute Meadows Elementary,1987
CO-1420-9052,Van Arsdale Elementary,1994
CO-1420-9058,Vanderhoof Elementary,1969
CO-1420-9232,Warder Elementary,1973
CO-1420-9234,Warren Tech,1972
CO-1420-9245,Warren Tech North,1995
CO-1420-1001,Warren Tech South,2021
CO-1420-9299,Wayne Carle Middle School,2006
CO-1420-9328,Weber Elementary,1972
CO-1420-9342,Welchester Elementary,1961
CO-1420-9424,West Jefferson Elementary,2001
CO-1420-9428,West Jefferson Middle School,1974
CO-1420-9429,West Woods Elementary,1996
CO-1420-9412,Westgate Elementary,1972
CO-1420-9490,Westridge Elementary,1987
CO-1420-9510,Wheat Ridge High School,1956
CO-1420-9638,Wilmore-Davis Elementary,1955
CO-1420-9648,Wilmot Elementary,1877
CO-1420-9678,Witt Elementary,1980
