State School ID,Full Address
CO-1420-0030,"6450 W 95th Pl, Westminster, CO 80030"
CO-1420-1451,"3605 S Teller St, Lakewood, CO 80235"
CO-1420-0491,"3940 S Teller St, Lakewood, CO 80235"
CO-1420-0108,"1255 S Wadsworth Blvd, Lakewood, CO 80232"
CO-1420-0148,"5900 Oak St, Arvada, CO 80004"
CO-1420-0370,"7951 W 65th Ave, Arvada, CO 80004"
CO-1420-0109,"5751 Balsam St, Arvada, CO 80002"
CO-1420-0378,"11595 Allendale Dr, Arvada, CO 80004"
CO-1420-0664,"9800 W Dartmouth Pl, Lakewood, CO 80227"
CO-1420-0660,"9601 W Dartmouth Pl, Lakewood, CO 80227"
CO-1420-0694,"1001 Ulysses St, Golden, CO 80401"
CO-1420-0724,"885 S Garrison St, Lakewood, CO 80226"
CO-1420-0779,"1422 Sugarbush Dr, Evergreen, CO 80439"
CO-1420-0776,"1928 Hiwan Dr, Evergreen, CO 80439"
CO-1420-0951,"5987 W Dorado Dr, Littleton, CO 80123"
CO-1420-0952,"2 Woodruff Dr, Littleton, CO 80127"
CO-1420-0950,"1 White Oak Dr, Littleton, CO 80127"
CO-1420-0965,"5220 W Ohio Ave, Lakewood, CO 80226"
CO-1420-1244,"6500 Oak St, Arvada, CO 80004"
CO-1420-1318,"2050 S Kipling St, Lakewood, CO 80227"
CO-1420-1522,"7227 S Simms St, Littleton, CO 80127"
CO-1420-7701,"8420 Sangre de Cristo Rd, Littleton, CO 80127"
CO-1420-1790,"6317 S Estes St, Littleton, CO 80123"
CO-1420-1864,"6201 S Pierce St, Littleton, CO 80123"
CO-1420-1861,"6005 W Canyon Ave, Littleton, CO 80128"
CO-1420-1880,"4441 Salvia St, Golden, CO 80403"
CO-1420-1869,"10399 W 44th Ave, Wheat Ridge, CO 80033"
CO-1420-1886,"10441 Highway 73, Conifer, CO 80433"
CO-1420-4798,"1200 Johnson Rd, Golden, CO 80465"
CO-1420-1876,"7922 S Carr St, Littleton, CO 80123"
CO-1420-1976,"50 S Kipling St, Lakewood, CO 80226"
CO-1420-2093,"13399 W Coal Mine Ave, Littleton, CO 80127"
CO-1420-8090,"580 S Harlan St, Lakewood, CO 80226"
CO-1420-2130,"9201 W Columbine Dr, Littleton, CO 80123"
CO-1420-9432,"401 Independence St, Lakewood, CO 80226"
CO-1420-2120,"10359 W Nassau Ave, Denver, CO 80235"
CO-1420-2194,"1725 S Wright St, Lakewood, CO 80228"
CO-1420-2189,"9050 Field St, Westminster, CO 80020"
CO-1420-2288,"12550 W 52nd Ave, Arvada, CO 80002"
CO-1420-2300,"1855 S Wright St, Lakewood, CO 80228"
CO-1420-2322,"7304 W Roxbury Pl, Littleton, CO 80128"
CO-1420-2496,"5570 W 24th Ave, Edgewater, CO 80214"
CO-1420-2550,"1385 Independence St, Lakewood, CO 80215"
CO-1420-2616,"13304 US Hwy 285, Pine, CO 80470"
CO-1420-8248,"1275 S Teller St, Lakewood, CO 80232"
CO-1420-2836,"29300 Buffalo Park Rd, Evergreen, CO 80439"
CO-1420-2832,"2059 Hiwan Dr, Evergreen, CO 80439"
CO-1420-2820,"3900 Kipling St, Wheat Ridge, CO 80033"
CO-1420-2799,"11500 W 84th Ave, Arvada, CO 80002"
