School,CDE Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Adams Elementary,CO-1420-0030,477,453,449,387,381,334,329,314,317,310,304,305,321,322,324,327
Alameda Intl Junior Senior High,CO-1420-0108,1282,1239,1199,1139,1117,1170,1080,1062,1027,1003,948,887,848,798,762,745
Allendale Elementary,CO-1420-0148,211,243,230,188,168,129,,,,,,,,,,
Arvada High,CO-1420-0370,937,836,822,805,768,783,759,705,722,754,672,598,526,485,463,463
Arvada K 8,CO-1420-0109,631,612,615,683,652,617,554,554,541,,,,,,,
Arvada West High,CO-1420-0378,1751,1740,1768,1777,1801,1825,1765,1840,1879,1923,1905,1869,1878,1882,1821,1816
Bear Creek High,CO-1420-0664,1634,1594,1564,1530,1514,1533,1495,1431,1405,1344,1281,1228,1192,1176,1148,1134
Bear Creek K 8,CO-1420-0660,1104,1086,1103,1060,1007,998,956,931,925,863,792,755,716,690,681,663
Bell Middle,CO-1420-0694,744,785,748,926,927,858,778,731,751,774,769,782,778,784,770,748
Belmar School of Integrated Arts,CO-1420-0724,316,319,320,316,232,226,211,215,322,293,256,239,206,189,182,181
Bergen Elementary,CO-1420-0779,326,331,337,326,330,256,281,247,262,456,452,466,451,451,454,450
Bergen Meadow Elementary,CO-1420-0776,326,331,337,326,330,256,281,247,262,,,,,,,
Bergen Valley Elementary,CO-1420-0779,292,294,300,302,280,240,226,243,215,,,,,,,
Blue Heron Elementary,CO-1420-0951,501,521,499,477,399,385,383,376,333,325,331,303,292,291,305,307
Bradford K8 North,CO-1420-0952,275,344,403,416,352,307,315,314,330,350,330,316,307,274,268,266
Bradford K8 South,CO-1420-0950,442,436,447,418,502,438,402,402,386,371,338,331,326,319,318,324
Brady Exploration School,CO-1420-0965,238,272,286,412,395,269,212,304,338,294,335,296,347,324,380,340
Campbell Early Learning Center,CO-1420-1244,,,,,,,,,130,198,217,215,215,215,215,215
Campbell Elementary,CO-1420-1238,322,294,276,240,225,176,194,215,,,,,,,,
Carmody Middle,CO-1420-1318,569,542,532,799,784,706,640,616,562,550,554,550,543,534,518,506
Chatfield High,CO-1420-1522,1811,1737,1776,1811,1842,1834,1791,1784,1812,1808,1786,1769,1755,1789,1760,1804
Coal Creek Canyon K 8,CO-1420-1730,140,140,141,136,149,119,118,98,79,,,,,,,
Colorow Elementary,CO-1420-1790,215,206,207,206,206,198,189,194,,,,,,,,
Columbine High,CO-1420-1864,1664,1708,1691,1697,1745,1732,1707,1686,1668,1710,1663,1586,1566,1517,1491,1515
Columbine Hills Elementary,CO-1420-1861,423,421,410,399,321,306,309,299,290,315,286,284,276,276,274,275
Conifer High,CO-1420-1886,781,833,879,857,873,837,815,821,838,822,805,784,752,759,735,738
Connections Learning Center,CO-1420-4798,38,37,36,28,44,11,18,23,27,22,11,20,21,17,17,19
Coronado Elementary,CO-1420-1876,601,590,550,519,498,443,419,397,389,384,393,374,360,343,338,347
Creighton Middle,CO-1420-1976,705,689,636,683,874,817,780,794,778,741,696,652,643,632,631,600
Dakota Ridge High,CO-1420-2093,1509,1527,1553,1469,1447,1421,1344,1338,1308,1277,1266,1203,1157,1111,1090,1052
Deane Elementary,CO-1420-8090,483,501,410,393,414,372,305,295,292,341,327,315,295,281,278,280
Deer Creek Middle,CO-1420-2130,678,680,788,813,752,666,603,557,528,541,565,588,613,592,565,513
Dennison Elementary,CO-1420-9432,625,625,627,627,629,623,609,612,575,575,574,577,581,585,589,593
DEvelyn Junior Senior,CO-1420-2120,1022,1025,1026,1022,1035,1132,1119,1125,1197,1212,1206,1213,1217,1221,1218,1221
Devinny Elementary,CO-1420-2194,543,554,553,463,475,463,466,455,487,505,511,515,526,531,531,533
Drake Middle,CO-1420-2288,685,676,673,923,920,927,935,957,982,1003,988,943,932,916,939,909
Dunstan Middle,CO-1420-2300,626,635,634,945,941,899,830,818,790,798,782,802,836,836,830,824
Dutch Creek Elementary,CO-1420-2322,313,317,317,312,284,271,276,294,311,286,259,258,258,262,257,257
Edgewater Elementary,CO-1420-2496,508,468,458,421,376,328,285,292,319,335,329,322,327,321,323,318
Eiber Elementary,CO-1420-2550,400,392,347,337,314,321,281,259,275,255,284,281,279,279,277,271
Elk Creek Elementary,CO-1420-2616,317,315,388,385,389,344,358,337,324,324,302,321,323,330,341,347
Emory Elementary,CO-1420-8248,,629,488,463,441,421,386,385,,,,,,,,
Evergreen High,CO-1420-2836,1058,1085,1116,1075,1096,1024,975,954,933,909,830,773,748,725,711,725
Evergreen Middle,CO-1420-2832,712,767,722,742,689,638,588,541,487,478,495,501,490,504,498,486
Everitt Middle,CO-1420-2820,425,468,437,656,601,546,521,515,444,456,437,457,455,440,439,437
Fairmount Elementary,CO-1420-2866,630,645,675,593,621,586,592,633,626,601,574,598,588,573,575,582
Falcon Bluffs Middle,CO-1420-2963,635,597,676,662,663,657,620,604,572,568,577,549,573,560,544,494
Fitzmorris Elementary,CO-1420-2946,338,315,284,251,211,184,155,,,,,,,,,
Fletcher Miller Special,CO-1420-5892,94,91,94,94,101,91,100,99,88,97,84,90,84,85,84,84
Foothills Elementary,CO-1420-3025,326,314,317,278,293,262,254,272,382,363,411,403,405,406,412,414
Foster Dual Language PK 8 School,CO-1420-3088,,,,,,399,358,369,435,454,486,508,522,549,565,569
Foster Elementary,CO-1420-3088,541,527,506,484,453,,,,,,,,,,,
Free Horizon Montessori,CO-1420-3201,,,,443,457,415,440,394,373,382,383,348,340,333,322,315
Fremont Elementary,CO-1420-3216,318,292,277,227,197,195,234,253,287,268,251,248,246,242,244,244
Glennon Heights Elementary,CO-1420-3450,230,239,253,244,195,170,156,136,,,,,,,,
Golden High,CO-1420-3502,1250,1261,1327,1326,1372,1381,1363,1416,1453,1469,1458,1454,1444,1455,1474,1484
Governors Ranch Elementary,CO-1420-3536,429,400,397,386,356,305,331,344,421,458,469,448,439,430,425,403
Green Gables Elementary,CO-1420-3622,300,288,291,219,209,221,259,265,309,315,300,302,299,305,312,313
Green Mountain Elementary,CO-1420-3624,374,335,342,234,228,219,209,202,,,,,,,,
Green Mountain High,CO-1420-3628,1126,1142,1108,1106,1124,1142,1081,1085,1081,1071,1077,1025,1010,998,960,1005
Hackberry Hill Elementary,CO-1420-3726,501,501,498,422,409,385,367,356,441,430,419,390,351,343,337,336
Hutchinson Elementary,CO-1420-4190,392,356,323,229,260,259,277,297,318,328,328,333,355,378,385,389
Irwin Preschool,CO-1420-4307,107,112,106,95,84,51,20,17,,,,,,,,
JeffCo Open Elementary,CO-1420-6539,223,231,246,243,245,237,228,239,240,236,238,241,243,245,245,248
Jeffco Open Secondary,CO-1420-6541,319,343,318,313,318,316,315,317,324,315,316,325,330,329,331,335
Jeffco Transition Services,CO-1420-0499,,,,,,,129,118,136,116,144,136,139,142,145,148
Jefferson Academy at Coal Creek,CO-1420-1730,,,,,,,,,,68,99,105,107,105,103,97
Jefferson Junior Senior High,CO-1420-4422,731,719,676,666,672,659,627,612,594,601,545,512,483,464,449,429
John and Karen Litz Preschool,CO-1420-8458,76,78,84,85,68,40,,,,,,,,,,
Ken Caryl Middle,CO-1420-4548,654,695,707,633,878,849,785,747,724,725,694,695,703,703,698,677
Kendallvue Elementary,CO-1420-4549,493,487,473,379,348,335,314,280,401,370,365,362,367,366,353,351
Kendrick Lakes Elementary,CO-1420-4550,474,456,448,391,393,368,369,372,403,443,416,418,404,396,389,380
Kullerstrand Elementary,CO-1420-4802,223,236,240,205,202,213,189,195,,,,,,,,
Kyffin Elementary,CO-1420-4830,492,503,548,480,464,453,472,484,493,503,528,526,532,530,528,526
Lakewood High,CO-1420-4942,2099,2116,2128,2091,2046,2090,1991,1885,1798,1735,1724,1703,1694,1638,1510,1503
Lasley Elementary,CO-1420-5004,472,479,463,431,412,355,293,286,529,576,555,538,521,501,500,492
Lawrence Elementary,CO-1420-5024,353,365,354,288,287,264,261,320,347,412,412,418,410,390,365,346
Leawood Elementary,CO-1420-5036,432,418,429,425,363,291,337,344,341,321,328,322,303,301,302,312
Little Elementary,CO-1420-5222,364,364,326,289,304,273,246,248,338,310,251,233,217,201,202,195
Long View,CO-1420-5623,58,52,58,55,49,29,16,35,25,19,17,26,29,20,17,24
Lukas Elementary,CO-1420-5350,519,510,481,353,324,272,247,262,415,402,407,397,375,373,362,360
Lumberg Elementary,CO-1420-5354,496,473,472,438,400,336,316,318,532,526,477,448,437,428,407,392
Mandalay Middle,CO-1420-5454,426,396,380,585,575,538,486,476,464,443,401,388,364,376,367,357
Manning,CO-1420-5472,447,443,441,669,675,673,678,670,685,685,710,709,708,707,712,716
Maple Grove Elementary,CO-1420-5524,370,389,360,325,337,334,326,327,379,390,371,375,362,369,354,358
Marshdale Elementary,CO-1420-5580,288,274,325,305,314,294,307,336,369,375,376,369,374,361,357,355
McLain Community High School,CO-1420-0033,375,384,357,423,392,350,397,395,408,349,331,314,421,294,239,213
Meiklejohn Elementary,CO-1420-5758,777,787,644,532,520,492,469,457,518,521,540,561,562,560,566,563
Mitchell Elementary,CO-1420-5944,538,539,576,564,570,548,531,519,499,478,453,431,416,419,419,431
Molholm Elementary,CO-1420-5972,526,503,453,424,332,275,254,229,,,,,,,,
