CDE School Code,State School ID,FCI,Site EUI (kBtu/ft²) in 2024,Year of last renovation,Effective Building Age,Facilities condition survey score,Average Work Order $/SF 2023-2024,Standardized FCI,Standardized EUI,Standardized age,Standardized age of last reno,Standardized survey score,Standardized work order $/SF,FCI weight,EUI weight,Effective Building Age Weight,Building renovation age weight,Facilities condition survey weight,Work order $/SF weight,Sum of available weights,FCI effective weight,EUI effective weight,Building age effective weight,Facilities condition survey effective weight,Work order $/SF effective weight,Composite Building Condition Score,FCI weighted score,EUI weighted score,Building age weighted score,Facilities condition score weighted score,Work order $/SF weighted score
30,CO-1420-0030,0.163685694,53.3,,38,3.5,0.75751922,0.84,0.4,0.62,0.623,0.625,0.729,0.3,0.15,0.25,0,0.1,0.2,1,0.30,0.15,0.25,0.1,0.2,0.67,0.25,0.06,0.16,0.06,0.15
108,CO-1420-0108,0.044280111,39.8,,65,4.5,0.76214296,0.96,0.7,0.21,0.205,0.875,0.721,0.3,0.15,0.25,0,0.1,0.2,1,0.30,0.15,0.25,0.1,0.2,0.67,0.29,0.11,0.05,0.09,0.14
370,CO-1420-0370,0.122675507,49.4,,55,4,0.844034848,0.88,0.4,0.42,0.419,0.75,0.611,0.3,0.15,0.25,0,0.1,0.2,1,0.30,0.15,0.25,0.1,0.2,0.63,0.26,0.06,0.10,0.08,0.12
378,CO-1420-0378,0.102449632,47.5,,23,4,1.796448564,0.90,0.4,0.87,0.869,0.75,0.153,0.3,0.15,0.25,0,0.1,0.2,1,0.30,0.15,0.25,0.1,0.2,0.65,0.27,0.06,0.22,0.08,0.03
664,CO-1420-0664,0.057277025,48.6,2009,17,4.333333333,0.751443829,0.94,0.4,0.92,0.935,0.833333333,0.738,0.3,0.15,0.25,0,0.1,0.2,1,0.30,0.15,0.25,0.1,0.2,0.80,0.28,0.06,0.23,0.08,0.15
660,CO-1420-0660,0.04062824,43,,18,2,0.65022502,0.96,0.4,0.92,0.919,0.25,0.839,0.3,0.15,0.25,0,0.1,0.2,1,0.30,0.15,0.25,0.1,0.2,0.77,0.29,0.06,0.23,0.03,0.17
694,CO-1420-0694,0.090107203,43.6,,62,2.5,0.678201328,0.91,0.4,0.31,0.312,0.375,0.814,0.3,0.15,0.25,0,0.1,0.2,1,0.30,0.15,0.25,0.1,0.2,0.61,0.27,0.06,0.08,0.04,0.16
724,CO-1420-0724,0.070087259,56.9,,65,3.5,0.651841313,0.93,0.1,0.21,0.205,0.625,0.831,0.3,0.15,0.25,0,0.1,0.2,1,0.30,0.15,0.25,0.1,0.2,0.57,0.28,0.02,0.05,0.06,0.17
779,CO-1420-0779,0.040835248,66,,29,4,0.86514652,0.96,0.1,0.80,0.796,0.75,0.585,0.3,0.15,0.25,0,0.1,0.2,1,0.30,0.15,0.25,0.1,0.2,0.69,0.29,0.02,0.20,0.08,0.12
951,CO-1420-0951,0.075439996,54.1,,24,2,1.144822359,0.92,0.4,0.85,0.853,0.25,0.373,0.3,0.15,0.25,0,0.1,0.2,1,0.30,0.15,0.25,0.1,0.2,0.65,0.28,0.06,0.21,0.03,0.07
