School,CDE Code,Year,School Year,Enrollment,Grade
Deane Elementary,CO-1420-8090,2026-27,2026-2027,15,PK
Deane Elementary,CO-1420-8090,2027-28,2027-2028,14,PK
Deane Elementary,CO-1420-8090,2028-29,2028-2029,14,PK
Deane Elementary,CO-1420-8090,2029-30,2029-2030,17,PK
Deane Elementary,CO-1420-8090,2030-31,2030-2031,17,PK
Patterson Elementary,CO-1420-6808,2026-27,2026-2027,74,PK
Patterson Elementary,CO-1420-6808,2027-28,2027-2028,71,PK
Patterson Elementary,CO-1420-6808,2028-29,2028-2029,69,PK
Patterson Elementary,CO-1420-6808,2029-30,2029-2030,67,PK
Patterson Elementary,CO-1420-6808,2030-31,2030-2031,65,PK
Rose Stein Elementary,CO-1420-7468,2026-27,2026-2027,49,PK
Rose Stein Elementary,CO-1420-7468,2027-28,2027-2028,61,PK
Rose Stein Elementary,CO-1420-7468,2028-29,2028-2029,48,PK
Rose Stein Elementary,CO-1420-7468,2029-30,2029-2030,55,PK
Rose Stein Elementary,CO-1420-7468,2030-31,2030-2031,55,PK
Secrest Elementary,CO-1420-7708,2026-27,2026-2027,53,PK
Secrest Elementary,CO-1420-7708,2027-28,2027-2028,46,PK
Secrest Elementary,CO-1420-7708,2028-29,2028-2029,54,PK
Secrest Elementary,CO-1420-7708,2029-30,2029-2030,53,PK
Secrest Elementary,CO-1420-7708,2030-31,2030-2031,53,PK
Campbell Early Learning Center,CO-1420-1244,2026-27,2026-2027,215,PK
Campbell Early Learning Center,CO-1420-1244,2027-28,2027-2028,215,PK
Campbell Early Learning Center,CO-1420-1244,2028-29,2028-2029,215,PK
Campbell Early Learning Center,CO-1420-1244,2029-30,2029-2030,215,PK
Campbell Early Learning Center,CO-1420-1244,2030-31,2030-2031,215,PK
Stott Elementary,CO-1420-8300,2026-27,2026-2027,30,PK
Stott Elementary,CO-1420-8300,2027-28,2027-2028,27,PK
Stott Elementary,CO-1420-8300,2028-29,2028-2029,25,PK
Stott Elementary,CO-1420-8300,2029-30,2029-2030,23,PK
Stott Elementary,CO-1420-8300,2030-31,2030-2031,21,PK
Green Gables Elementary,CO-1420-3622,2026-27,2026-2027,24,PK
Green Gables Elementary,CO-1420-3622,2027-28,2027-2028,22,PK
Green Gables Elementary,CO-1420-3622,2028-29,2028-2029,23,PK
Green Gables Elementary,CO-1420-3622,2029-30,2029-2030,21,PK
Green Gables Elementary,CO-1420-3622,2030-31,2030-2031,21,PK
Kendallvue Elementary,CO-1420-4549,2026-27,2026-2027,46,PK
Kendallvue Elementary,CO-1420-4549,2027-28,2027-2028,46,PK
Kendallvue Elementary,CO-1420-4549,2028-29,2028-2029,46,PK
