State School ID,Applied Permanent Capacity,Applied Temporary Capacity
CO-1420-0030,497,0
CO-1420-1451,0,0
CO-1420-0491,0,0
CO-1420-0108,1470,24
CO-1420-0148,324,0
CO-1420-0370,1748,0
CO-1420-0109,763,0
CO-1420-0378,1922,24
CO-1420-0664,2303,0
CO-1420-0660,1138,0
CO-1420-0694,1008,0
CO-1420-0724,353,43
CO-1420-0779,518,0
CO-1420-0776,518,0
CO-1420-0951,518,0
CO-1420-0952,410,0
CO-1420-0950,497,0
CO-1420-0965,405,0
CO-1420-1244,312,0
CO-1420-1318,839,0
CO-1420-1522,2415,0
CO-1420-7701,0,0
CO-1420-1790,475,0
CO-1420-1864,2207,0
CO-1420-1861,432,0
CO-1420-1880,0,0
CO-1420-1869,0,0
CO-1420-1886,1327,71
CO-1420-4798,262,20
CO-1420-1876,475,0
CO-1420-1976,914,0
CO-1420-2093,2041,0
CO-1420-8090,482,0
CO-1420-2130,1058,0
CO-1420-9432,475,173
CO-1420-2120,1320,0
CO-1420-2194,518,0
CO-1420-2189,0,0
CO-1420-2288,990,0
CO-1420-2300,1008,0
CO-1420-2322,562,0
CO-1420-2496,432,65
CO-1420-2550,396,0
CO-1420-2616,475,0
CO-1420-8248,713,0
CO-1420-2836,1589,0
CO-1420-2832,706,0
CO-1420-2820,738,0
CO-1420-2799,0,0
CO-1420-2866,605,0
CO-1420-2963,857,0
CO-1420-2946,454,0
CO-1420-5892,109,0
CO-1420-3025,353,65
CO-1420-3088,454,0
CO-1420-3201,425,0
CO-1420-3216,338,22
CO-1420-3450,302,0
CO-1420-3502,1510,24
CO-1420-3536,497,0
CO-1420-3691,0,0
CO-1420-3622,346,0
CO-1420-3624,324,0
CO-1420-3628,1891,48
CO-1420-3726,432,0
CO-1420-4190,475,0
CO-1420-4307,0,0
CO-1420-9980,0,0
CO-1420-4127,0,0
CO-1420-0499,95,0
CO-1420-4408,0,0
CO-1420-4404,0,0
CO-1420-1730,0,0
CO-1420-4402,0,0
CO-1420-4410,0,0
CO-1420-6539,882,22
CO-1420-4422,1135,0
CO-1420-4548,907,0
CO-1420-4549,497,0
CO-1420-4550,461,0
CO-1420-4802,302,0
CO-1420-4830,497,43
CO-1420-4942,2041,0
CO-1420-5004,691,0
CO-1420-5024,367,0
CO-1420-5036,518,0
CO-1420-5145,0,0
CO-1420-5222,410,0
CO-1420-5623,48,119
CO-1420-5350,446,0
CO-1420-5354,540,0
CO-1420-5454,630,0
CO-1420-5472,655,0
CO-1420-5524,353,0
CO-1420-5580,396,0
CO-1420-0033,738,0
CO-1420-5758,691,0
CO-1420-5944,518,0
CO-1420-5972,454,0
CO-1420-5994,0,0
CO-1420-6090,662,0
CO-1420-6133,540,0
CO-1420-9998,0,0
CO-1420-6135,540,0
CO-1420-6139,0,0
CO-1420-9805,0,0
CO-1420-6237,0,0
CO-1420-9154,302,0
CO-1420-6285,96,0
CO-1420-6286,540,0
CO-1420-6330,756,0
CO-1420-6470,756,0
CO-1420-6804,346,0
CO-1420-6806,302,0
CO-1420-6808,410,0
CO-1420-6848,288,43
CO-1420-6828,432,0
CO-1420-6844,475,0
CO-1420-7114,2105,0
CO-1420-7128,569,0
CO-1420-7190,562,0
CO-1420-7238,410,0
CO-1420-7239,2303,0
CO-1420-7282,194,130
CO-1420-7462,0,0
CO-1420-5415,0,0
CO-1420-7483,540,43
CO-1420-7468,468,0
CO-1420-7529,526,65
CO-1420-7708,418,0
CO-1420-7753,518,0
CO-1420-7780,518,0
CO-1420-7833,540,0
CO-1420-4478,0,0
CO-1420-7870,655,0
CO-1420-7962,310,0
CO-1420-8036,449,0
CO-1420-8102,497,0
CO-1420-8209,1867,0
CO-1420-8223,569,0
CO-1420-8276,367,86
CO-1420-8280,497,0
CO-1420-8300,432,0
CO-1420-8381,1008,0
CO-1420-8432,518,0
CO-1420-8834,518,0
CO-1420-8856,1001,0
CO-1420-8793,0,0
CO-1420-9008,497,43
CO-1420-9052,518,65
CO-1420-9058,425,65
CO-1420-9232,475,0
CO-1420-9234,738,24
CO-1420-9245,524,0
CO-1420-1001,143,0
CO-1420-9299,706,0
CO-1420-9328,518,0
CO-1420-9342,410,0
CO-1420-9424,367,43
CO-1420-9428,655,0
CO-1420-9429,540,108
CO-1420-9412,583,43
CO-1420-9490,497,0
CO-1420-9510,1820,0
CO-1420-9638,367,0
CO-1420-9648,454,0
CO-1420-9999,0,0
CO-1420-9678,475,0
CO-1420-9427,0,0
