EnrollJeffco School Name,State School ID,Presence weighted,Safety & Security score weighted,Community score weighted,Organization score weighted,Assembly score weighted,Extended learning score weighted,Overall Classroom score,Overall Environmental Quality score,Weighted overall EA Score,Weighted overall EA Score category
Adams Elementary,CO-1420-0030,0.83,0.78,0.65,0.77375,0.458212209,0.274591837,0.636814009,0.86875,0.692768368,Good
Alameda International Junior/Senior High School,CO-1420-0108,0.91,0.84,0.9,1,0.580208333,0.769428571,0.818790836,0.816666667,0.828974618,Excellent
Arvada High School,CO-1420-0370,0.89,0.78,0.72,0.52375,0.734187258,0.205714286,0.71030017,0.742857143,0.703631096,Good
Arvada West High School,CO-1420-0378,0.94,0.81,0.84,0.595,0.793784722,0.257142857,0.742559524,0.951785714,0.771224956,Excellent
Bear Creek High School,CO-1420-0664,0.94,0.84,0.89,0.84125,0.707463663,0.315,0.673279163,0.8453125,0.772437628,Excellent
Bear Creek K-8,CO-1420-0660,0.94,0.6,0.88,0.7625,0.596875,0.328222997,0.718739434,0.8125,0.705417044,Good
Bell Middle School,CO-1420-0694,0.95,0.75,0.9,0.8125,0.654930556,0.335204082,0.694224162,0.638888889,0.730308322,Good
Belmar School of Integrated Arts,CO-1420-0724,0.8,0.69,0.73,0.436666667,0.486797481,0.323265306,0.614960424,0.914285714,0.641980532,Fair
Bergen Elementary School,CO-1420-0779,0.82,0.84,0.58,0.637083333,0.3125,0.843204082,0.721876549,0.775,0.709329239,Good
Blue Heron Elementary,CO-1420-0951,0.74,0.75,0.51,0.527083333,0.395954457,0.523755102,0.57883101,0.8078125,0.628316003,Fair
Bradford K8 North,CO-1420-0952,0.77,0.83,0.73,0.757916667,0.583854167,0.23877551,0.552171875,0.7765625,0.682332221,Good
Bradford K8 South,CO-1420-0950,0.94,0.81,0.8,0.699583333,0.542708333,0.255306122,0.62937358,0.7234375,0.7011813,Good
Brady Exploration School,CO-1420-0965,0.57,0.66,0.78,0.38,0.629375,0.096428571,0.604868552,0.6859375,0.580486968,Fair
Campbell Early Learning Center,CO-1420-1244,0.68,0.78,0.42,0.62375,0.298958333,0.338877551,0.750865385,0.725,0.63977604,Fair
Carmody Middle School,CO-1420-1318,0.92,0.64,0.64,0.79375,0.455572917,0.308571429,0.842323947,0.94375,0.727251651,Good
Chatfield Senior High School,CO-1420-1522,0.94,0.88,0.96,0.84125,0.737791667,0.291428571,0.586101687,0.65,0.74725474,Good
Columbine High School,CO-1420-1864,0.84,0.85,0.88,0.6275,0.822829861,0.694571429,0.54839148,0.740625,0.733840578,Good
Columbine Hills Elementary,CO-1420-1861,0.87,0.69,0.73,0.422083333,0.584375,0.338877551,0.731229768,0.8265625,0.676350738,Good
Conifer High School,CO-1420-1886,0.96,0.8,0.89,0.839583333,0.911215278,0.334285714,0.693262213,0.769444444,0.787019952,Excellent
Connections Learning Center,CO-1420-4798,0.86,0.38,0.81,0.46,0.653125,0.205714286,0.824202222,0.9175,0.645573047,Fair
Coronado Elementary,CO-1420-1876,0.83,0.75,0.88,0.7375,0.665625,0.354489796,0.777023611,0.803125,0.745023199,Good
Creighton Middle,CO-1420-1976,0.63,0.64,0.56,0.88125,0.380520833,0.199285714,0.649004712,0.65625,0.611303031,Fair
Dakota Ridge High School,CO-1420-2093,0.88,0.81,0.96,0.7675,0.670347222,0.250714286,0.690741005,0.838888889,0.750817262,Excellent
Deane Elementary,CO-1420-8090,0.8,0.86,0.67,0.595,0.255087209,0.243367347,0.60599562,0.8875,0.657630514,Good
Deer Creek Middle School,CO-1420-2130,0.78,0.74,0.79,0.67375,0.64953125,0.613142857,0.616590964,0.656944444,0.684778691,Good
Dennison Elementary,CO-1420-9432,0.78,0.75,0.69,0.495,0.509375,0.303061224,0.647888426,0.683333333,0.6388837,Fair
